Month,Year,Company Name,Company ID,Residential Customers,Residential Customers with Arrears Greater than 60 days,Residential Final Termination Notices,Residential Accounts Terminated,Residential Accounts Terminated Percentage,Residential Active Payment Arrangements,Residential Uncollectibles,Residential Sales,Residential Arrears Greater than 60 Days Sales,Residential Final Termination Notices Issued Sales,Residential Accounts Terminated Sales,Residential Average Sales,Residential Active Payment Arrangements Sales,Residential Uncollectibles Sales
6,2012,CH,1001,229198,21789,24035,1670,0.72%,2866,755,24357418,11267871,8754098,1234062,106.27,3832085,299122.39
6,2012,NFG,3120,464205,20746,17496,2971,0.64%,17668,2862,15583026.87,8750544.68,5122615.13,1481681.93,33.57,7537530,1850316.3
6,2012,NGrid-LI,1003,513110,63135,2022,1399,0.27%,20492,869,34112911,28793554,1205094,1495584,66.48,17359967,684359
6,2012,NGrid-NY,3010,940321,146463,61190,4174,0.44%,26023,4699,43118686.06,57986030,35634747.12,4323943.04,45.86,21237839.46,1142698.61
6,2012,NGrid-Upstate,1004,1464589,218144,96922,5923,0.40%,84407,5908,142651700.3,214645277.6,59303633,8318830,97.4,82849256,4134974.29
6,2012,NYSEG,1005,993600,109113,63473,3218,0.32%,60538,1529,53799171.97,33665303.98,10602643.27,1572241.59,54.15,29658204,989244.76
6,2012,OR,1006,195739,15730,16205,848,0.43%,7211,92,29533377,7316143,3976089,720443,150.88,7340316,221275
6,2012,RG&E,1007,610381,68377,37870,1569,0.25%,40394,1909,32536406,43694807.36,8180569.05,1359918.88,53.31,34918775.31,1049796.59
9,2012,CE,1002,2882687,242807,250583,9288,0.32%,144969,5216,387214149,229929958.6,95948596.99,11016000,134.32,79980814,4156431.97
9,2012,CH,1001,224975,19380,24810,1350,0.60%,2544,899,32263519,9328079,9257194,911057.87,143.41,3946558.52,539222.49
9,2012,NFG,3120,460729,20814,12204,1424,0.30%,15322,1829,14307549.53,7669081.72,3303824.01,491933.44,31.05,6470081.55,885213.43
9,2012,NGrid-LI,1003,515086,63557,1890,1020,0.19%,18943,847,20467152,25883141,909754,1205000,39.74,15107284,634089
9,2012,NGrid-NY,3010,924795,147063,53554,3266,0.35%,24760,4994,35756233.1,52286240,27845726.99,1535627.59,38.66,19705472.41,2127853.43
9,2012,NGrid-Upstate,1004,1483550,216519,100863,6981,0.47%,68249,6820,169490166.5,203450566.3,60990003,7552301,114.25,69765684,4688680.88
9,2012,NYSEG,1005,992902,106312,71654,2828,0.28%,60787,3306,61454637.97,31952823.42,11858534.13,1260653.24,61.89,29519954.47,939370.96
9,2012,OR,1006,195721,15242,18730,991,0.50%,6997,131,37241493.55,6276794.04,5183899,628453.6,190.28,6829206,275915.99
9,2012,RG&E,1007,610516,67567,38920,1410,0.23%,39907,2244,34851428.52,42452074.25,8005498.44,716839.99,57.09,33327689.02,911663.89
12,2012,CE,1002,2885939,345299,183613,3700,0.12%,161519,5082,309501969,273500787.9,64532314.6,4317000,1357.85,85329927,4559931
12,2012,CH,1001,225535,20708,25068,307,0.13%,2873,1229,28968022,8925763,8003322.34,211027.68,128.44,4059590.36,689114.02
12,2012,NFG,3120,466110,16654,13856,186,0.03%,12572,1459,42765931.95,7849781.15,4018584.91,94023.31,91.75,6167056.83,-616991.17
12,2012,NGrid-LI,1003,516849,78293,0,0,0.00%,16865,1149,52855605,28798387,0,0,102.27,13418305,664582
12,2012,NGrid-NY,3010,924820,171811,22697,9,0.00%,17196,4608,93441979.67,54204502,19568777,915,101.04,15740389,483887.07
12,2012,NGrid-Upstate,1004,1442251,226902,87898,365,0.02%,60672,6227,201353721.3,201091615.2,45894090,681829,139.61,62255400,3747227.88
12,2012,NYSEG,1005,992878,107855,75740,623,0.06%,61759,3336,79288083.31,31096160.15,13024455.35,284319.39,79.86,29212754.29,925614.07
12,2012,OR,1006,195732,17130,16453,0,0.00%,6421,48,47462479,6994806,4600919,0,242.49,6264006,188141
12,2012,RG&E,1007,611836,66418,40760,420,0.06%,38672,2362,50151583.06,39185332.36,8694084.5,296482.03,81.97,31862062.82,875689.64
3,2013,CE,1002,2891483,310255,217244,7730,0.26%,175475,3564,333409060.6,264399919.7,89507644.8,8792000,115.31,97842469.49,3611860.06
3,2013,CH,1001,222552,18748,26644,554,0.24%,3294,806,36386935,8664670,10366725,470803.65,163.5,4930055.47,188056.95
3,2013,NFG,3120,468555,17442,17035,1,0.00%,14432,1508,50165597.79,9459633.08,5963143.48,0,107.06,6892032.84,-91849.15
3,2013,NGrid-LI,1003,516520,65819,1529,76,0.01%,13047,934,84920693,29793839,1249040,103825,164.41,12154411,446114
3,2013,NGrid-NY,3010,927834,133474,67990,1866,0.20%,23680,3284,121736550.5,55951165,39389669,574121,131.21,19375978,331536.93
